id;email;phone_number
1;"Egx9R-wfvo.yNd_Iij.N5.VJ0@s7c-DNvP_3F-7Qo.hY.pIl.mS5.s_";"+1621214572"
2;"Qf@1.kwX.P0";"05868488803"
3;"acG0xj.9U.9tz.HjfN.W4j9@Fl.Ik71.Tw";"+3948046592204"
4;"Vxp2CxsV.jpxkH@vM.t2rvU-pAjci.fd.OvU.w7.oq.MWa";"+54631555834"
5;"B1YY0@Ap.0s.yB.ADn.8id";"+8231672986626"
6;"sOpruKb0bq9.l@FS29djnuQ4fxT3.eb.Pd";"+84993001370"
7;"0mPz-81eIkn6oXn@GhBW5.i11";"08922284"
8;"UOk@maqk0IB4fc.L6.wwu.OV.Vwc.42.9Xl";"04238960"
9;"WuQD7M@KejDNo2.3d.rNhJl0.cY.p.I_3";"+83966575"
10;"D-mxr07ml.MppsSL-Gv2@m3h5ht.2.69A.I7o.898";"0926831035"
