id;unique_identification_number;birth_date;disability;employment;address_id;personal_info_id;company_id
1;"7664817647263";2023-01-08T17:00:33;false;true;1;1;1
2;"1615331164507";2023-01-08T14:59:29;true;true;2;2;2
3;"0252104977652";2023-01-07T23:44:24;false;false;3;3;3
4;"4431731095853";2023-01-07T21:54:27;false;true;4;4;4
5;"1589514411301";2023-01-08T15:10:04;false;true;5;5;5
6;"1765433997612";2023-01-08T16:21:50;true;true;6;6;6
7;"1742193956541";2023-01-07T20:59:07;false;false;7;7;7
8;"0056595200026";2023-01-07T23:48:43;true;false;8;8;8
9;"7691221498071";2023-01-08T16:50:36;false;false;9;9;9
10;"7042475065009";2023-01-08T12:12:16;false;false;10;10;10
